时间戳,车速,加速度,方向盘角度,相对时间,是否急刹
482.5,18.184586518842252,2.7264174607203984,0.943379488246845,-3.0,False
482.6,19.071593169238163,8.870066503959109,0.8099523774567147,-2.8999999999999773,False
482.7,20.381935655410473,13.103424861723099,2.169262638139324,-2.8000000000000114,False
482.8,17.660806789798595,-27.211288656118775,0.5545928126396775,-2.6999999999999886,False
482.9,17.630459799002793,-0.303469907958025,0.5215293076653151,-2.6000000000000227,False
483.0,17.47860514536044,-1.5185465364235462,4.635068685049214,-2.5,False
483.1,17.10890163506024,-3.6970351030020154,2.38293092553619,-2.3999999999999773,False
483.2,19.869640848659543,27.607392135993063,0.741341636790388,-2.3000000000000114,False
483.3,16.172461646976586,-36.971792016829546,1.4106046256235814,-2.1999999999999886,False
483.4,15.433854465780083,-7.3860718119650315,5.250971716511794,-2.1000000000000227,False
483.5,17.649568504564087,22.157140387840037,1.5370620625743496,-2.0,False
483.6,16.423383953035703,-12.26184551528382,0.6750880714813037,-1.8999999999999773,False
483.7,19.203786748091687,27.80402795055986,0.7289977212872751,-1.8000000000000114,False
483.8,19.412742568191646,2.0895582009995906,1.0451650769192626,-1.6999999999999886,False
483.9,16.228170430659226,-31.845721375324203,0.9979104374107501,-1.6000000000000227,False
484.0,17.373447006215343,11.452765755561192,-0.3298612202663018,-1.5,False
484.1,19.662554772233957,22.891077660186134,0.022584973061325897,-1.3999999999999773,False
484.2,19.387638131890995,-2.7491664034296015,0.6528989796046241,-1.3000000000000114,False
484.3,20.15984747451781,7.7220934262681595,3.534222408883722,-1.1999999999999886,False
484.4,21.219760085703903,10.599126111860908,1.6271151795268337,-1.1000000000000227,False
484.5,16.253800224942502,-49.65959860761403,2.012727604936764,-1.0,False
484.6,14.713984526386438,-15.398156985560636,5.003623677910895,-0.8999999999999773,False
484.7,17.189320504887405,24.75335978500965,5.088778022007133,-0.8000000000000114,False
484.8,18.753277044285966,15.639565393985588,1.96873389023056,-0.6999999999999886,False
484.9,15.709460398440672,-30.438166458452933,1.304365759114696,-0.6000000000000227,False
485.0,18.86450905827597,31.550486598352983,0.8692155840062217,-0.5,False
485.1,23.648777662742177,47.842686044662074,4.014471579548077,-0.39999999999997726,False
485.2,20.09900914917743,-35.497685135647465,2.249196270649048,-0.30000000000001137,False
485.3,21.125178008584644,10.26168859407214,1.914145500072665,-0.19999999999998863,False
485.4,24.46762451198449,33.42446503399845,1.087152007122931,-0.10000000000002274,False
485.5,24.05159635876462,-4.160281532198695,1.2013035549050288,0.0,True
485.6,22.009459826895,-20.421365318696196,3.4057058377520004,0.10000000000002274,True
485.7,20.94941987326704,-10.600399536279603,0.1584529258902143,0.19999999999998863,True
485.8,19.363875276975115,-15.855445962919248,4.801583356051557,0.30000000000001137,True
485.9,18.50402808486549,-8.598471921096245,1.7654398230825898,0.39999999999997726,True
486.0,17.526945702553682,-9.770823823118047,2.5538976603818786,0.5,True
486.1,17.259829293627398,-2.671164089262845,0.19800257631508833,0.6000000000000227,False
486.2,16.522788145838454,-7.370411477889416,2.8647558239082462,0.6999999999999886,False
486.3,17.489038806562732,9.662506607242758,2.249107598004768,0.8000000000000114,False
486.4,17.03731859241573,-4.5172021414700225,2.8205755109065462,0.8999999999999773,False
486.5,17.48685692219237,4.495383297766402,5.877860598925191,1.0,False
486.6,20.008626552727662,25.217696305352924,3.302257843766543,1.1000000000000227,False
486.7,19.99182534947474,-0.16801203252921226,1.3686697429199004,1.1999999999999886,False
486.8,19.31219965247648,-6.796256969982597,1.5451771777958254,1.3000000000000114,False
486.9,23.756066771284626,44.438671188081464,4.16660647577097,1.3999999999999773,False
487.0,26.628319910053705,28.722531387690804,5.580952268091664,1.5,False
487.1,20.194998620352752,-64.33321289700953,3.5533146192506155,1.6000000000000227,False
487.2,18.55280966173678,-16.421889586159715,4.371505674394351,1.6999999999999886,False
487.3,19.556195368126822,10.033857063900413,4.216843936969986,1.8000000000000114,False
487.4,17.733651895871752,-18.225434722550702,5.837470877139578,1.8999999999999773,False
487.5,16.683927001760026,-10.497248941117245,-0.8991803454520655,2.0,False
487.6,18.902240049152386,22.183130473923605,4.333779929033593,2.1000000000000227,False
487.7,19.93843932414731,10.361992749949263,4.964840578103702,2.1999999999999886,False
487.8,20.789906624308227,8.514673001609161,0.3166327730136689,2.3000000000000114,False
487.9,23.350594060913345,25.606874366051162,1.218142209735681,2.3999999999999773,False
488.0,24.00755951243845,6.569654515251067,1.282000188848516,2.5,False
488.1,21.286026787454652,-27.215327249837973,1.5187637111886676,2.6000000000000227,False
488.2,19.9858108994874,-13.002158879672514,2.0043828970179116,2.6999999999999886,False
488.3,22.26056487008536,22.747539705979616,3.4431937373214003,2.8000000000000114,False
488.4,20.883625608595416,-13.769392614899445,4.678211054520805,2.8999999999999773,False
488.5,18.82454538657894,-20.59080222016476,5.097076717738495,3.0,False
488.6,21.997234013136943,31.726886265580028,1.245090586283909,3.1000000000000227,False
488.7,23.543156161887318,15.459221487503747,1.2163434859799358,3.1999999999999886,False
488.8,22.12972593309087,-14.134302287964466,5.521131380425424,3.3000000000000114,False
488.9,20.602144704523994,-15.27581228566877,4.165446363433502,3.3999999999999773,False
489.0,17.865919158015203,-27.36225546508793,3.01889923262346,3.5,False
489.1,18.291386190920498,4.254670329052956,3.779802461822379,3.6000000000000227,False
489.2,19.980682108500083,16.892959175795834,2.7522384047728035,3.6999999999999886,False
489.3,19.284800408758183,-6.9588169974189995,3.838498823759988,3.8000000000000114,False
489.4,19.502210006862793,2.1740959810460936,2.0934560617540354,3.8999999999999773,False
489.5,18.611796781149387,-8.904132257134059,3.2782462418062552,4.0,False
489.6,16.99237596123956,-16.194208199098252,-0.30661094334093253,4.100000000000023,False
489.7,20.577251013324748,35.84875052085188,1.3115666910673702,4.199999999999989,False
489.8,23.208624367490977,26.313733541662305,1.3045883841129626,4.300000000000011,False
489.9,21.659923578919656,-15.487007885713204,1.8801399737177595,4.399999999999977,False
490.0,19.27293611180044,-23.86987467119214,0.7450497017938291,4.5,False
490.1,18.364853011343577,-9.080831004568637,1.499005528835357,4.600000000000023,False
490.2,19.376665247262785,10.118122359192103,-0.49584434829018154,4.699999999999989,False
490.3,21.92947628013353,25.528110328707463,3.5961646749201037,4.800000000000011,False
490.4,23.92653374935088,19.970574692173493,2.2984205895783427,4.899999999999977,False
490.5,22.25960233927774,-16.6693141007314,-0.9833642324271814,5.0,False
490.6,19.181495237294747,-30.781071019829955,0.7199299329792426,5.100000000000023,False
490.7,20.372413294728805,11.909180574340574,3.0242832271018685,5.199999999999989,False
490.8,20.91155818256506,5.391448878362564,1.225495835555766,5.300000000000011,False
490.9,19.776474967653908,-11.350832149111518,0.8771022466790976,5.399999999999977,False
